103, 1540262151, lead_off:False/0.940, confidence:0.743, big_r:0,  small_r0, Polarity:0, No_R:136, hfb: 0
110, 1540262571, lead_off:False/0.935, confidence:0.679, big_r:0,  small_r0, Polarity:0, No_R:131, hfb: 0
126, 1540263531, lead_off:False/0.934, confidence:0.723, big_r:0,  small_r0, Polarity:0, No_R:119, hfb: 0
130, 1540263771, lead_off:False/0.932, confidence:0.737, big_r:0,  small_r0, Polarity:0, No_R:118, hfb: 0
226, 1540269531, lead_off:False/0.945, confidence:0.745, big_r:0,  small_r0, Polarity:0, No_R:149, hfb: 0
229, 1540269711, lead_off:False/0.943, confidence:0.688, big_r:0,  small_r0, Polarity:0, No_R:141, hfb: 0
231, 1540269831, lead_off:False/0.946, confidence:0.639, big_r:0,  small_r0, Polarity:0, No_R:144, hfb: 0
232, 1540269891, lead_off:False/0.943, confidence:0.664, big_r:0,  small_r0, Polarity:0, No_R:146, hfb: 0
234, 1540270011, lead_off:False/0.939, confidence:0.717, big_r:0,  small_r0, Polarity:0, No_R:152, hfb: 0
235, 1540270071, lead_off:False/0.941, confidence:0.730, big_r:0,  small_r0, Polarity:0, No_R:152, hfb: 0
236, 1540270131, lead_off:False/0.941, confidence:0.632, big_r:0,  small_r0, Polarity:0, No_R:144, hfb: 0
237, 1540270191, lead_off:False/0.938, confidence:0.664, big_r:0,  small_r0, Polarity:0, No_R:143, hfb: 0
238, 1540270251, lead_off:False/0.939, confidence:0.674, big_r:0,  small_r0, Polarity:0, No_R:138, hfb: 0
641, 1540294431, lead_off:False/0.937, confidence:0.508, big_r:0,  small_r0, Polarity:0, No_R:122, hfb: 0
642, 1540294491, lead_off:False/0.937, confidence:0.544, big_r:0,  small_r0, Polarity:0, No_R:125, hfb: 0
643, 1540294551, lead_off:False/0.937, confidence:0.488, big_r:0,  small_r0, Polarity:0, No_R:121, hfb: 0
644, 1540294611, lead_off:False/0.685, confidence:0.496, big_r:0,  small_r0, Polarity:0, No_R:129, hfb: 0
645, 1540294671, lead_off:False/0.935, confidence:0.641, big_r:0,  small_r0, Polarity:0, No_R:131, hfb: 0
646, 1540294731, lead_off:False/0.936, confidence:0.696, big_r:0,  small_r0, Polarity:0, No_R:125, hfb: 0
647, 1540294791, lead_off:False/0.936, confidence:0.618, big_r:0,  small_r0, Polarity:0, No_R:131, hfb: 0
648, 1540294851, lead_off:False/0.938, confidence:0.697, big_r:0,  small_r0, Polarity:0, No_R:122, hfb: 0
650, 1540294971, lead_off:False/0.939, confidence:0.748, big_r:0,  small_r0, Polarity:0, No_R:127, hfb: 0
658, 1540295451, lead_off:False/0.939, confidence:0.657, big_r:0,  small_r0, Polarity:0, No_R:134, hfb: 0
745, 1540300671, lead_off:False/2.993, confidence:0.623, big_r:3,  small_r0, Polarity:0, No_R:77, hfb: 6
746, 1540300731, lead_off:False/1.272, confidence:0.742, big_r:2,  small_r0, Polarity:0, No_R:93, hfb: 4
809, 1540304511, lead_off:False/0.914, confidence:0.736, big_r:0,  small_r0, Polarity:0, No_R:121, hfb: 0
811, 1540304631, lead_off:False/0.916, confidence:0.685, big_r:0,  small_r0, Polarity:0, No_R:127, hfb: 1
1016, 1540316931, lead_off:False/0.926, confidence:0.646, big_r:1,  small_r0, Polarity:0, No_R:99, hfb: 3
1338, 1540336251, lead_off:False/0.935, confidence:0.659, big_r:1,  small_r0, Polarity:0, No_R:132, hfb: 3
1340, 1540336371, lead_off:False/0.931, confidence:0.586, big_r:0,  small_r0, Polarity:0, No_R:128, hfb: 0
1341, 1540336431, lead_off:False/0.931, confidence:0.526, big_r:0,  small_r0, Polarity:0, No_R:133, hfb: 0
1346, 1540336731, lead_off:False/0.931, confidence:0.729, big_r:0,  small_r0, Polarity:0, No_R:155, hfb: 0
1584, 1540351011, lead_off:False/0.953, confidence:0.742, big_r:0,  small_r0, Polarity:0, No_R:128, hfb: 0
1787, 1540363191, lead_off:False/0.959, confidence:0.748, big_r:0,  small_r0, Polarity:0, No_R:115, hfb: 0
1801, 1540364031, lead_off:False/0.958, confidence:0.717, big_r:0,  small_r0, Polarity:0, No_R:113, hfb: 0
