117, 1551666601, lead_off:False/0.975, confidence:0.750, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
158, 1551669061, lead_off:False/1.321, confidence:0.779, big_r:2, small_r0, Polarity:0, No_R:104, hfb: 9
161, 1551669241, lead_off:False/1.004, confidence:0.669, big_r:1, small_r0, Polarity:0, No_R:133, hfb: 1
162, 1551669301, lead_off:False/1.130, confidence:0.296, big_r:0, small_r0, Polarity:0, No_R:125, hfb: 1
175, 1551670081, lead_off:False/1.159, confidence:0.590, big_r:0, small_r2, Polarity:0, No_R:117, hfb: 0
176, 1551670141, lead_off:False/0.953, confidence:0.611, big_r:0, small_r1, Polarity:0, No_R:113, hfb: 0
188, 1551670861, lead_off:False/1.021, confidence:0.720, big_r:1, small_r0, Polarity:0, No_R:107, hfb: 1
535, 1551691681, lead_off:False/0.949, confidence:0.645, big_r:1, small_r0, Polarity:0, No_R:110, hfb: 2
576, 1551694141, lead_off:False/0.969, confidence:0.686, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
577, 1551694201, lead_off:False/0.962, confidence:0.731, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 1
579, 1551694321, lead_off:False/0.961, confidence:0.727, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
580, 1551694381, lead_off:False/0.965, confidence:0.748, big_r:0, small_r0, Polarity:0, No_R:127, hfb: 1
581, 1551694441, lead_off:False/0.957, confidence:0.664, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 2
593, 1551695161, lead_off:False/0.976, confidence:0.690, big_r:0, small_r1, Polarity:0, No_R:113, hfb: 3
594, 1551695221, lead_off:False/1.027, confidence:0.730, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
597, 1551695401, lead_off:False/1.034, confidence:0.651, big_r:0, small_r0, Polarity:0, No_R:129, hfb: 1
607, 1551696001, lead_off:False/0.974, confidence:0.540, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 1
617, 1551696601, lead_off:False/1.071, confidence:0.680, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 2
618, 1551696661, lead_off:False/1.038, confidence:0.707, big_r:1, small_r0, Polarity:0, No_R:133, hfb: 5
619, 1551696721, lead_off:False/1.042, confidence:0.721, big_r:0, small_r0, Polarity:0, No_R:147, hfb: 1
620, 1551696781, lead_off:False/1.064, confidence:0.730, big_r:0, small_r0, Polarity:0, No_R:148, hfb: 2
652, 1551698701, lead_off:False/2.291, confidence:0.604, big_r:1, small_r0, Polarity:0, No_R:96, hfb: 3
653, 1551698761, lead_off:False/1.232, confidence:0.556, big_r:3, small_r0, Polarity:0, No_R:90, hfb: 9
654, 1551698821, lead_off:False/0.788, confidence:0.688, big_r:2, small_r0, Polarity:0, No_R:112, hfb: 4
655, 1551698881, lead_off:False/1.213, confidence:0.607, big_r:1, small_r3, Polarity:0, No_R:117, hfb: 6
1117, 1551726601, lead_off:False/0.869, confidence:0.726, big_r:0, small_r0, Polarity:0, No_R:106, hfb: 0
1118, 1551726661, lead_off:False/0.851, confidence:0.710, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
1363, 1551741361, lead_off:False/0.935, confidence:0.739, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 1
1388, 1551742861, lead_off:False/0.922, confidence:0.689, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
1586, 1551754741, lead_off:False/1.247, confidence:0.729, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1610, 1551756181, lead_off:False/1.997, confidence:0.746, big_r:1, small_r0, Polarity:0, No_R:114, hfb: 1
1615, 1551756481, lead_off:False/2.783, confidence:0.702, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 2
1637, 1551757801, lead_off:False/1.854, confidence:0.696, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 1
1640, 1551757981, lead_off:False/2.973, confidence:0.730, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 0
1641, 1551758041, lead_off:False/1.447, confidence:0.699, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 1
1654, 1551758821, lead_off:False/1.185, confidence:0.750, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
1669, 1551759721, lead_off:False/1.354, confidence:0.676, big_r:1, small_r0, Polarity:0, No_R:111, hfb: 7
1670, 1551759781, lead_off:False/1.460, confidence:0.404, big_r:1, small_r0, Polarity:0, No_R:109, hfb: 12
1671, 1551759841, lead_off:False/1.525, confidence:0.470, big_r:1, small_r0, Polarity:0, No_R:100, hfb: 3
1672, 1551759901, lead_off:False/1.823, confidence:0.667, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 1
1674, 1551760021, lead_off:False/2.036, confidence:0.828, big_r:2, small_r0, Polarity:0, No_R:122, hfb: 6
1718, 1551762661, lead_off:False/1.367, confidence:0.744, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 2
1720, 1551762781, lead_off:False/1.519, confidence:0.717, big_r:0, small_r0, Polarity:0, No_R:120, hfb: 2
1744, 1551764221, lead_off:False/1.367, confidence:0.537, big_r:1, small_r0, Polarity:0, No_R:121, hfb: 6
1755, 1551764881, lead_off:False/1.408, confidence:0.713, big_r:0, small_r0, Polarity:0, No_R:129, hfb: 2
1757, 1551765001, lead_off:False/1.210, confidence:0.740, big_r:0, small_r0, Polarity:0, No_R:127, hfb: 5
1808, 1551768061, lead_off:False/1.753, confidence:0.733, big_r:1, small_r0, Polarity:0, No_R:120, hfb: 4
1810, 1551768181, lead_off:False/1.683, confidence:0.684, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 2
1850, 1551770581, lead_off:False/4.847, confidence:0.398, big_r:2, small_r0, Polarity:0, No_R:83, hfb: 7
1851, 1551770641, lead_off:False/6.386, confidence:0.548, big_r:7, small_r0, Polarity:0, No_R:93, hfb: 13
1872, 1551771901, lead_off:False/4.243, confidence:0.635, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 1
1880, 1551772381, lead_off:False/4.770, confidence:0.187, big_r:6, small_r0, Polarity:0, No_R:75, hfb: 23
1881, 1551772441, lead_off:False/3.273, confidence:0.472, big_r:3, small_r0, Polarity:0, No_R:108, hfb: 7
1882, 1551772501, lead_off:False/4.328, confidence:0.425, big_r:2, small_r0, Polarity:0, No_R:106, hfb: 9
1884, 1551772621, lead_off:False/3.589, confidence:0.436, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 4
1885, 1551772681, lead_off:False/3.709, confidence:0.730, big_r:0, small_r0, Polarity:0, No_R:126, hfb: 0
1886, 1551772741, lead_off:False/3.309, confidence:0.739, big_r:2, small_r0, Polarity:0, No_R:111, hfb: 3
1887, 1551772801, lead_off:False/3.586, confidence:0.586, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 4
1888, 1551772861, lead_off:False/2.223, confidence:0.591, big_r:0, small_r0, Polarity:0, No_R:127, hfb: 1
1949, 1551776521, lead_off:True/12.699, confidence:0.000, big_r:0, small_r0, Polarity:0, No_R:16, hfb: 3
1950, 1551776581, lead_off:True/13.065, confidence:0.000, big_r:1, small_r0, Polarity:0, No_R:26, hfb: 2
1951, 1551776641, lead_off:True/13.010, confidence:0.034, big_r:0, small_r0, Polarity:0, No_R:29, hfb: 0
1952, 1551776701, lead_off:False/9.910, confidence:0.440, big_r:2, small_r0, Polarity:0, No_R:25, hfb: 3
1987, 1551778801, lead_off:False/7.970, confidence:0.897, big_r:2, small_r0, Polarity:0, No_R:97, hfb: 2
1989, 1551778921, lead_off:False/8.345, confidence:0.954, big_r:2, small_r0, Polarity:0, No_R:108, hfb: 5
2004, 1551779821, lead_off:False/8.259, confidence:0.892, big_r:3, small_r0, Polarity:0, No_R:120, hfb: 3
2029, 1551781321, lead_off:False/8.683, confidence:0.972, big_r:3, small_r0, Polarity:0, No_R:106, hfb: 3
2040, 1551781981, lead_off:False/8.941, confidence:0.736, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 0
2044, 1551782221, lead_off:False/8.927, confidence:0.681, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 3
2045, 1551782281, lead_off:False/8.707, confidence:0.657, big_r:3, small_r0, Polarity:0, No_R:108, hfb: 6
2046, 1551782341, lead_off:False/9.022, confidence:0.653, big_r:2, small_r0, Polarity:0, No_R:121, hfb: 3
2060, 1551783181, lead_off:False/9.209, confidence:0.648, big_r:0, small_r0, Polarity:0, No_R:125, hfb: 1
2061, 1551783241, lead_off:False/9.291, confidence:0.694, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
2062, 1551783301, lead_off:False/9.300, confidence:0.678, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 1
2063, 1551783361, lead_off:False/9.313, confidence:0.667, big_r:1, small_r0, Polarity:0, No_R:123, hfb: 1
2064, 1551783421, lead_off:False/9.311, confidence:0.738, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
2065, 1551783481, lead_off:False/9.367, confidence:0.702, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
2066, 1551783541, lead_off:False/9.462, confidence:0.720, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
2067, 1551783601, lead_off:False/9.402, confidence:0.564, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 1
2068, 1551783661, lead_off:False/9.491, confidence:0.637, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2069, 1551783721, lead_off:False/9.537, confidence:0.757, big_r:3, small_r0, Polarity:0, No_R:115, hfb: 4
2070, 1551783781, lead_off:False/9.562, confidence:0.730, big_r:1, small_r0, Polarity:0, No_R:111, hfb: 4
2086, 1551784741, lead_off:False/6.737, confidence:0.595, big_r:0, small_r2, Polarity:0, No_R:111, hfb: 5
2101, 1551785641, lead_off:False/1.023, confidence:0.853, big_r:3, small_r0, Polarity:0, No_R:116, hfb: 4
2102, 1551785701, lead_off:False/1.045, confidence:0.736, big_r:3, small_r0, Polarity:0, No_R:110, hfb: 7
2103, 1551785761, lead_off:False/0.794, confidence:0.587, big_r:1, small_r1, Polarity:0, No_R:104, hfb: 4
2104, 1551785821, lead_off:False/0.791, confidence:0.670, big_r:2, small_r1, Polarity:0, No_R:103, hfb: 4
2108, 1551786061, lead_off:False/1.413, confidence:0.726, big_r:0, small_r1, Polarity:0, No_R:106, hfb: 3
2109, 1551786121, lead_off:False/1.159, confidence:0.566, big_r:3, small_r0, Polarity:0, No_R:99, hfb: 6
2175, 1551790081, lead_off:False/0.799, confidence:0.744, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
2177, 1551790201, lead_off:False/0.795, confidence:0.698, big_r:0, small_r0, Polarity:0, No_R:126, hfb: 0
2207, 1551792001, lead_off:False/1.376, confidence:0.650, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 2
2208, 1551792061, lead_off:False/0.908, confidence:0.705, big_r:1, small_r0, Polarity:0, No_R:105, hfb: 2
2209, 1551792121, lead_off:False/0.800, confidence:0.555, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 0
2210, 1551792181, lead_off:False/2.294, confidence:0.680, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 2
2211, 1551792241, lead_off:False/1.668, confidence:0.598, big_r:1, small_r0, Polarity:0, No_R:102, hfb: 4
2214, 1551792421, lead_off:False/0.955, confidence:0.698, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
2216, 1551792541, lead_off:False/0.801, confidence:0.730, big_r:0, small_r1, Polarity:0, No_R:111, hfb: 0
2242, 1551794101, lead_off:False/1.311, confidence:0.644, big_r:0, small_r0, Polarity:0, No_R:101, hfb: 0
2243, 1551794161, lead_off:False/0.808, confidence:0.745, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
2244, 1551794221, lead_off:False/0.807, confidence:0.660, big_r:0, small_r1, Polarity:0, No_R:106, hfb: 0
2245, 1551794281, lead_off:False/0.807, confidence:0.642, big_r:0, small_r1, Polarity:0, No_R:106, hfb: 0
2250, 1551794581, lead_off:False/0.814, confidence:0.648, big_r:0, small_r1, Polarity:0, No_R:105, hfb: 2
2251, 1551794641, lead_off:False/0.810, confidence:0.680, big_r:0, small_r1, Polarity:0, No_R:103, hfb: 2
2252, 1551794701, lead_off:False/0.941, confidence:0.676, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
2254, 1551794821, lead_off:False/1.715, confidence:0.721, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 1
2256, 1551794941, lead_off:False/0.805, confidence:0.706, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
2257, 1551795001, lead_off:False/0.946, confidence:0.748, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 0
2261, 1551795241, lead_off:False/0.805, confidence:0.670, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 0
2265, 1551795481, lead_off:False/1.385, confidence:0.606, big_r:0, small_r0, Polarity:0, No_R:94, hfb: 1
2269, 1551795721, lead_off:False/0.802, confidence:0.648, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
2302, 1551797701, lead_off:False/0.799, confidence:0.717, big_r:0, small_r0, Polarity:0, No_R:92, hfb: 0
2669, 1551819721, lead_off:False/0.936, confidence:0.576, big_r:0, small_r0, Polarity:0, No_R:92, hfb: 1
2751, 1551824641, lead_off:False/1.388, confidence:0.600, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 0
