1174, 1552800408, lead_off:False/0.842, confidence:0.701, big_r:0, small_r0, Polarity:0, No_R:97, hfb: 0
1181, 1552800828, lead_off:False/0.842, confidence:0.703, big_r:1, small_r0, Polarity:0, No_R:91, hfb: 2
1182, 1552800888, lead_off:False/0.841, confidence:0.705, big_r:1, small_r0, Polarity:0, No_R:88, hfb: 2
1183, 1552800948, lead_off:False/0.841, confidence:0.722, big_r:0, small_r0, Polarity:0, No_R:97, hfb: 0
1186, 1552801128, lead_off:False/0.841, confidence:0.741, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
1187, 1552801188, lead_off:False/0.841, confidence:0.302, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 1
1188, 1552801248, lead_off:False/0.841, confidence:0.342, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
1189, 1552801308, lead_off:False/0.841, confidence:0.682, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
1193, 1552801548, lead_off:False/0.841, confidence:0.682, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
1196, 1552801728, lead_off:False/0.856, confidence:0.700, big_r:1, small_r0, Polarity:0, No_R:120, hfb: 4
1204, 1552802208, lead_off:False/0.844, confidence:0.630, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
1206, 1552802328, lead_off:False/0.843, confidence:0.691, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 1
1207, 1552802388, lead_off:False/0.843, confidence:0.725, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
1209, 1552802508, lead_off:False/0.843, confidence:0.737, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
1210, 1552802568, lead_off:False/0.843, confidence:0.593, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1211, 1552802628, lead_off:False/0.843, confidence:0.711, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
1212, 1552802688, lead_off:False/0.842, confidence:0.723, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
1214, 1552802808, lead_off:False/0.842, confidence:0.661, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1215, 1552802868, lead_off:False/0.842, confidence:0.681, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 1
1216, 1552802928, lead_off:False/0.842, confidence:0.575, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
1218, 1552803048, lead_off:False/0.842, confidence:0.607, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
1219, 1552803108, lead_off:False/0.841, confidence:0.685, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 0
1220, 1552803168, lead_off:False/0.842, confidence:0.720, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1221, 1552803228, lead_off:False/0.842, confidence:0.569, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
1222, 1552803288, lead_off:False/0.842, confidence:0.741, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 0
1227, 1552803588, lead_off:False/0.842, confidence:0.737, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
1260, 1552805568, lead_off:False/0.843, confidence:0.663, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 1
1295, 1552807668, lead_off:False/0.843, confidence:0.750, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 2
1296, 1552807728, lead_off:False/0.843, confidence:0.633, big_r:0, small_r1, Polarity:0, No_R:90, hfb: 4
1308, 1552808448, lead_off:False/0.847, confidence:0.626, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
1309, 1552808508, lead_off:False/0.846, confidence:0.747, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
1313, 1552808748, lead_off:False/0.845, confidence:0.380, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 0
1314, 1552808808, lead_off:False/0.845, confidence:0.424, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1315, 1552808868, lead_off:False/0.845, confidence:0.396, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
1316, 1552808928, lead_off:False/0.845, confidence:0.391, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 1
1317, 1552808988, lead_off:False/0.845, confidence:0.383, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
1318, 1552809048, lead_off:False/0.845, confidence:0.542, big_r:0, small_r0, Polarity:0, No_R:120, hfb: 1
1319, 1552809108, lead_off:False/0.845, confidence:0.667, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
