153, 1539075378, lead_off:False/0.912, confidence:0.684, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 0
496, 1539095958, lead_off:False/0.939, confidence:0.688, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 0
498, 1539096078, lead_off:False/0.922, confidence:0.711, big_r:0,  small_r0, Polarity:0, No_R:90, hfb: 0
499, 1539096138, lead_off:False/0.928, confidence:0.729, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 0
500, 1539096198, lead_off:False/0.875, confidence:0.510, big_r:1,  small_r0, Polarity:0, No_R:96, hfb: 6
501, 1539096258, lead_off:False/0.909, confidence:0.634, big_r:2,  small_r0, Polarity:0, No_R:93, hfb: 2
502, 1539096318, lead_off:False/0.863, confidence:0.744, big_r:1,  small_r0, Polarity:0, No_R:90, hfb: 2
507, 1539096618, lead_off:False/1.191, confidence:0.714, big_r:0,  small_r0, Polarity:0, No_R:84, hfb: 0
508, 1539096678, lead_off:False/0.862, confidence:0.446, big_r:0,  small_r0, Polarity:0, No_R:83, hfb: 0
595, 1539101898, lead_off:False/0.884, confidence:0.716, big_r:0,  small_r0, Polarity:0, No_R:67, hfb: 0
607, 1539102618, lead_off:False/0.899, confidence:0.671, big_r:0,  small_r0, Polarity:0, No_R:70, hfb: 0
608, 1539102678, lead_off:False/0.910, confidence:0.421, big_r:0,  small_r0, Polarity:0, No_R:38, hfb: 0
630, 1539103998, lead_off:False/0.900, confidence:0.660, big_r:0,  small_r0, Polarity:0, No_R:53, hfb: 0
645, 1539104898, lead_off:False/0.892, confidence:0.712, big_r:0,  small_r0, Polarity:0, No_R:66, hfb: 0
837, 1539116418, lead_off:False/0.915, confidence:0.695, big_r:0,  small_r0, Polarity:0, No_R:59, hfb: 0
957, 1539123618, lead_off:False/0.912, confidence:0.731, big_r:0,  small_r0, Polarity:0, No_R:67, hfb: 0
998, 1539126078, lead_off:False/0.938, confidence:0.447, big_r:0,  small_r0, Polarity:0, No_R:38, hfb: 1
999, 1539126138, lead_off:False/0.947, confidence:0.382, big_r:0,  small_r0, Polarity:0, No_R:34, hfb: 0
1000, 1539126198, lead_off:False/0.947, confidence:0.558, big_r:0,  small_r0, Polarity:0, No_R:52, hfb: 0
1263, 1539141978, lead_off:False/1.093, confidence:0.604, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 0
1264, 1539142038, lead_off:False/1.057, confidence:0.700, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
1265, 1539142098, lead_off:False/1.016, confidence:0.550, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
1266, 1539142158, lead_off:False/1.042, confidence:0.465, big_r:0,  small_r0, Polarity:0, No_R:99, hfb: 0
1267, 1539142218, lead_off:False/1.086, confidence:0.443, big_r:0,  small_r0, Polarity:0, No_R:97, hfb: 0
1268, 1539142278, lead_off:False/1.031, confidence:0.181, big_r:0,  small_r0, Polarity:0, No_R:72, hfb: 0
1269, 1539142338, lead_off:False/1.057, confidence:0.324, big_r:0,  small_r0, Polarity:0, No_R:74, hfb: 0
1270, 1539142398, lead_off:False/1.058, confidence:0.454, big_r:0,  small_r0, Polarity:0, No_R:97, hfb: 0
1271, 1539142458, lead_off:False/1.066, confidence:0.590, big_r:0,  small_r0, Polarity:0, No_R:105, hfb: 0
1272, 1539142518, lead_off:False/1.031, confidence:0.640, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
1274, 1539142638, lead_off:False/1.014, confidence:0.733, big_r:0,  small_r0, Polarity:0, No_R:116, hfb: 0
1275, 1539142698, lead_off:False/0.995, confidence:0.741, big_r:0,  small_r0, Polarity:0, No_R:108, hfb: 0
1276, 1539142758, lead_off:False/1.010, confidence:0.703, big_r:0,  small_r0, Polarity:0, No_R:118, hfb: 0
1278, 1539142878, lead_off:False/0.998, confidence:0.648, big_r:0,  small_r0, Polarity:0, No_R:108, hfb: 0
1288, 1539143478, lead_off:False/0.975, confidence:0.702, big_r:0,  small_r0, Polarity:0, No_R:114, hfb: 0
1331, 1539146058, lead_off:False/0.979, confidence:0.484, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 0
1332, 1539146118, lead_off:False/0.985, confidence:0.718, big_r:0,  small_r0, Polarity:0, No_R:103, hfb: 0
1333, 1539146178, lead_off:False/0.986, confidence:0.710, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
1334, 1539146238, lead_off:False/0.982, confidence:0.676, big_r:0,  small_r0, Polarity:0, No_R:108, hfb: 0
1335, 1539146298, lead_off:False/0.982, confidence:0.685, big_r:0,  small_r0, Polarity:0, No_R:108, hfb: 0
1336, 1539146358, lead_off:False/0.978, confidence:0.554, big_r:0,  small_r0, Polarity:0, No_R:112, hfb: 0
1337, 1539146418, lead_off:False/0.973, confidence:0.569, big_r:0,  small_r0, Polarity:0, No_R:109, hfb: 0
1338, 1539146478, lead_off:False/0.956, confidence:0.714, big_r:0,  small_r0, Polarity:0, No_R:119, hfb: 0
1339, 1539146538, lead_off:False/0.953, confidence:0.696, big_r:0,  small_r0, Polarity:0, No_R:115, hfb: 0
1340, 1539146598, lead_off:False/0.946, confidence:0.575, big_r:0,  small_r0, Polarity:0, No_R:120, hfb: 0
1341, 1539146658, lead_off:False/0.940, confidence:0.608, big_r:0,  small_r0, Polarity:0, No_R:120, hfb: 0
1343, 1539146778, lead_off:False/0.932, confidence:0.704, big_r:0,  small_r0, Polarity:0, No_R:125, hfb: 0
1344, 1539146838, lead_off:False/0.929, confidence:0.551, big_r:0,  small_r0, Polarity:0, No_R:118, hfb: 0
1345, 1539146898, lead_off:False/0.928, confidence:0.681, big_r:0,  small_r0, Polarity:0, No_R:116, hfb: 0
1346, 1539146958, lead_off:False/0.925, confidence:0.708, big_r:0,  small_r0, Polarity:0, No_R:120, hfb: 0
1349, 1539147138, lead_off:False/0.918, confidence:0.746, big_r:0,  small_r0, Polarity:0, No_R:114, hfb: 0
1350, 1539147198, lead_off:False/0.917, confidence:0.632, big_r:0,  small_r0, Polarity:0, No_R:114, hfb: 0
1351, 1539147258, lead_off:False/0.917, confidence:0.578, big_r:0,  small_r0, Polarity:0, No_R:116, hfb: 0
1352, 1539147318, lead_off:False/0.916, confidence:0.748, big_r:0,  small_r0, Polarity:0, No_R:115, hfb: 0
1353, 1539147378, lead_off:False/0.915, confidence:0.693, big_r:0,  small_r0, Polarity:0, No_R:114, hfb: 0
1600, 1539162198, lead_off:False/1.033, confidence:0.670, big_r:0,  small_r0, Polarity:0, No_R:94, hfb: 0
1917, 1539181218, lead_off:False/0.986, confidence:0.505, big_r:1,  small_r0, Polarity:0, No_R:95, hfb: 1
1918, 1539181278, lead_off:False/1.012, confidence:0.471, big_r:6,  small_r0, Polarity:0, No_R:70, hfb: 12
1919, 1539181338, lead_off:False/1.965, confidence:0.356, big_r:3,  small_r0, Polarity:0, No_R:59, hfb: 8
1920, 1539181398, lead_off:False/1.031, confidence:0.630, big_r:1,  small_r0, Polarity:0, No_R:73, hfb: 3
2091, 1539191658, lead_off:False/0.997, confidence:0.667, big_r:0,  small_r0, Polarity:0, No_R:84, hfb: 0
2142, 1539194718, lead_off:False/0.915, confidence:0.707, big_r:0,  small_r0, Polarity:0, No_R:75, hfb: 0
2143, 1539194778, lead_off:False/0.914, confidence:0.707, big_r:0,  small_r0, Polarity:0, No_R:82, hfb: 0
2144, 1539194838, lead_off:False/0.927, confidence:0.624, big_r:0,  small_r0, Polarity:0, No_R:85, hfb: 0
2162, 1539195918, lead_off:False/0.934, confidence:0.577, big_r:0,  small_r0, Polarity:0, No_R:78, hfb: 0
2164, 1539196038, lead_off:False/0.940, confidence:0.535, big_r:0,  small_r0, Polarity:0, No_R:43, hfb: 0
2332, 1539206118, lead_off:False/0.960, confidence:0.729, big_r:0,  small_r0, Polarity:0, No_R:48, hfb: 0
2351, 1539207258, lead_off:False/0.973, confidence:0.691, big_r:0,  small_r0, Polarity:0, No_R:55, hfb: 0
2352, 1539207318, lead_off:False/0.973, confidence:0.611, big_r:0,  small_r0, Polarity:0, No_R:54, hfb: 0
2355, 1539207498, lead_off:False/0.973, confidence:0.600, big_r:0,  small_r0, Polarity:0, No_R:50, hfb: 0
2357, 1539207618, lead_off:False/0.973, confidence:0.512, big_r:0,  small_r0, Polarity:0, No_R:41, hfb: 0
2358, 1539207678, lead_off:False/0.973, confidence:0.158, big_r:0,  small_r0, Polarity:0, No_R:19, hfb: 0
2359, 1539207738, lead_off:False/0.973, confidence:0.192, big_r:0,  small_r0, Polarity:0, No_R:26, hfb: 0
2360, 1539207798, lead_off:False/0.973, confidence:0.261, big_r:0,  small_r0, Polarity:0, No_R:23, hfb: 0
2361, 1539207858, lead_off:False/0.974, confidence:0.080, big_r:0,  small_r0, Polarity:0, No_R:25, hfb: 0
2362, 1539207918, lead_off:False/0.974, confidence:0.219, big_r:0,  small_r0, Polarity:0, No_R:32, hfb: 0
2363, 1539207978, lead_off:False/0.974, confidence:0.345, big_r:0,  small_r0, Polarity:0, No_R:29, hfb: 0
2364, 1539208038, lead_off:False/0.974, confidence:0.188, big_r:0,  small_r0, Polarity:0, No_R:16, hfb: 0
2365, 1539208098, lead_off:False/0.974, confidence:0.208, big_r:0,  small_r0, Polarity:0, No_R:24, hfb: 0
2366, 1539208158, lead_off:False/0.974, confidence:0.000, big_r:0,  small_r0, Polarity:0, No_R:23, hfb: 0
2367, 1539208218, lead_off:False/0.974, confidence:0.240, big_r:0,  small_r0, Polarity:0, No_R:25, hfb: 0
2368, 1539208278, lead_off:False/0.974, confidence:0.000, big_r:0,  small_r0, Polarity:0, No_R:20, hfb: 0
2369, 1539208338, lead_off:False/0.974, confidence:0.118, big_r:0,  small_r0, Polarity:0, No_R:17, hfb: 0
2370, 1539208398, lead_off:False/0.974, confidence:0.233, big_r:0,  small_r0, Polarity:0, No_R:30, hfb: 0
2371, 1539208458, lead_off:False/0.974, confidence:0.214, big_r:0,  small_r0, Polarity:0, No_R:28, hfb: 0
2377, 1539208818, lead_off:False/0.984, confidence:0.355, big_r:0,  small_r0, Polarity:0, No_R:31, hfb: 0
2378, 1539208878, lead_off:False/0.983, confidence:0.405, big_r:0,  small_r0, Polarity:0, No_R:37, hfb: 0
2379, 1539208938, lead_off:False/0.983, confidence:0.242, big_r:0,  small_r0, Polarity:0, No_R:33, hfb: 0
2380, 1539208998, lead_off:False/0.983, confidence:0.148, big_r:0,  small_r0, Polarity:0, No_R:27, hfb: 0
2413, 1539210978, lead_off:False/0.979, confidence:0.462, big_r:0,  small_r0, Polarity:0, No_R:39, hfb: 0
2414, 1539211038, lead_off:False/0.982, confidence:0.190, big_r:0,  small_r0, Polarity:0, No_R:21, hfb: 0
2415, 1539211098, lead_off:False/0.983, confidence:0.091, big_r:0,  small_r0, Polarity:0, No_R:11, hfb: 0
