79, 1552984100, lead_off:False/0.904, confidence:0.750, big_r:1, small_r0, Polarity:0, No_R:88, hfb: 3
164, 1552989200, lead_off:False/0.901, confidence:0.670, big_r:0, small_r0, Polarity:0, No_R:94, hfb: 4
327, 1552998980, lead_off:False/0.899, confidence:0.727, big_r:0, small_r0, Polarity:0, No_R:88, hfb: 3
328, 1552999040, lead_off:False/0.901, confidence:0.695, big_r:2, small_r0, Polarity:0, No_R:95, hfb: 3
413, 1553004140, lead_off:False/0.909, confidence:0.713, big_r:2, small_r1, Polarity:0, No_R:80, hfb: 6
443, 1553005940, lead_off:False/0.911, confidence:0.652, big_r:0, small_r0, Polarity:0, No_R:89, hfb: 0
444, 1553006000, lead_off:False/0.916, confidence:0.656, big_r:0, small_r0, Polarity:0, No_R:90, hfb: 0
447, 1553006180, lead_off:False/0.916, confidence:0.638, big_r:0, small_r0, Polarity:0, No_R:94, hfb: 1
459, 1553006900, lead_off:False/0.910, confidence:0.747, big_r:0, small_r0, Polarity:0, No_R:91, hfb: 0
460, 1553006960, lead_off:False/0.912, confidence:0.670, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 0
502, 1553009480, lead_off:False/0.924, confidence:0.686, big_r:1, small_r0, Polarity:0, No_R:86, hfb: 3
630, 1553017160, lead_off:False/0.901, confidence:0.473, big_r:1, small_r0, Polarity:0, No_R:93, hfb: 4
797, 1553027180, lead_off:False/0.894, confidence:0.740, big_r:1, small_r0, Polarity:0, No_R:73, hfb: 1
915, 1553034260, lead_off:False/1.078, confidence:0.746, big_r:0, small_r0, Polarity:0, No_R:71, hfb: 1
987, 1553038580, lead_off:False/0.898, confidence:0.731, big_r:0, small_r0, Polarity:0, No_R:93, hfb: 1
989, 1553038700, lead_off:False/0.898, confidence:0.648, big_r:0, small_r1, Polarity:0, No_R:88, hfb: 0
990, 1553038760, lead_off:False/1.362, confidence:0.378, big_r:0, small_r1, Polarity:0, No_R:90, hfb: 0
998, 1553039240, lead_off:False/0.900, confidence:0.478, big_r:0, small_r0, Polarity:0, No_R:90, hfb: 1
999, 1553039300, lead_off:False/0.902, confidence:0.600, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 1
1008, 1553039840, lead_off:False/0.902, confidence:0.720, big_r:0, small_r0, Polarity:0, No_R:75, hfb: 0
1009, 1553039900, lead_off:False/0.905, confidence:0.590, big_r:0, small_r1, Polarity:0, No_R:83, hfb: 0
1010, 1553039960, lead_off:False/0.909, confidence:0.649, big_r:0, small_r0, Polarity:0, No_R:77, hfb: 0
1023, 1553040740, lead_off:False/0.917, confidence:0.726, big_r:0, small_r1, Polarity:0, No_R:95, hfb: 0
1026, 1553040920, lead_off:False/0.907, confidence:0.739, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
