495, 1538381352, lead_off:False/0.881, confidence:0.737, big_r:0,  small_r0, Polarity:0, No_R:99, hfb: 0
846, 1538402412, lead_off:False/0.875, confidence:0.775, big_r:2,  small_r0, Polarity:0, No_R:102, hfb: 5
850, 1538402652, lead_off:False/0.954, confidence:0.763, big_r:4,  small_r0, Polarity:0, No_R:93, hfb: 10
851, 1538402712, lead_off:False/1.024, confidence:0.659, big_r:5,  small_r0, Polarity:0, No_R:88, hfb: 11
852, 1538402772, lead_off:False/0.856, confidence:0.820, big_r:2,  small_r0, Polarity:0, No_R:100, hfb: 2
1362, 1538433372, lead_off:False/0.850, confidence:0.676, big_r:0,  small_r0, Polarity:0, No_R:142, hfb: 0
1363, 1538433432, lead_off:False/0.849, confidence:0.658, big_r:0,  small_r0, Polarity:0, No_R:152, hfb: 0
1400, 1538435652, lead_off:False/0.845, confidence:0.704, big_r:0,  small_r0, Polarity:0, No_R:115, hfb: 0
1401, 1538435712, lead_off:False/0.845, confidence:0.739, big_r:0,  small_r0, Polarity:0, No_R:111, hfb: 0
1912, 1538466372, lead_off:False/4.773, confidence:0.672, big_r:1,  small_r0, Polarity:0, No_R:61, hfb: 2
1913, 1538466432, lead_off:False/11.169, confidence:0.405, big_r:4,  small_r0, Polarity:0, No_R:42, hfb: 8
1914, 1538466492, lead_off:True/12.270, confidence:0.263, big_r:3,  small_r0, Polarity:0, No_R:38, hfb: 6
1915, 1538466552, lead_off:True/14.486, confidence:0.814, big_r:1,  small_r0, Polarity:0, No_R:43, hfb: 1
2779, 1538518392, lead_off:False/1.532, confidence:0.661, big_r:4,  small_r0, Polarity:0, No_R:112, hfb: 5
2780, 1538518452, lead_off:False/1.547, confidence:0.538, big_r:10,  small_r0, Polarity:0, No_R:130, hfb: 10
2781, 1538518512, lead_off:False/1.541, confidence:0.423, big_r:2,  small_r0, Polarity:0, No_R:111, hfb: 4
2783, 1538518632, lead_off:False/0.927, confidence:0.709, big_r:9,  small_r0, Polarity:0, No_R:127, hfb: 16
2784, 1538518692, lead_off:False/0.915, confidence:0.270, big_r:6,  small_r0, Polarity:0, No_R:126, hfb: 17
2785, 1538518752, lead_off:False/0.894, confidence:0.607, big_r:0,  small_r0, Polarity:0, No_R:150, hfb: 5
2801, 1538519712, lead_off:False/0.858, confidence:0.389, big_r:5,  small_r0, Polarity:0, No_R:113, hfb: 11
2802, 1538519772, lead_off:False/0.858, confidence:0.333, big_r:0,  small_r0, Polarity:0, No_R:126, hfb: 5
2803, 1538519832, lead_off:False/0.862, confidence:0.435, big_r:4,  small_r0, Polarity:0, No_R:131, hfb: 5
2804, 1538519892, lead_off:False/0.867, confidence:0.546, big_r:2,  small_r0, Polarity:0, No_R:152, hfb: 2
2805, 1538519952, lead_off:False/0.911, confidence:0.423, big_r:4,  small_r0, Polarity:0, No_R:111, hfb: 9
2806, 1538520012, lead_off:False/1.139, confidence:0.324, big_r:8,  small_r0, Polarity:0, No_R:74, hfb: 11
2808, 1538520132, lead_off:False/2.514, confidence:0.651, big_r:2,  small_r0, Polarity:0, No_R:126, hfb: 5
2809, 1538520192, lead_off:False/2.479, confidence:0.283, big_r:1,  small_r0, Polarity:0, No_R:92, hfb: 4
2810, 1538520252, lead_off:False/2.496, confidence:0.642, big_r:0,  small_r0, Polarity:0, No_R:120, hfb: 2
2811, 1538520312, lead_off:False/2.020, confidence:0.638, big_r:2,  small_r0, Polarity:0, No_R:116, hfb: 8
2812, 1538520372, lead_off:False/3.469, confidence:0.583, big_r:2,  small_r0, Polarity:0, No_R:115, hfb: 8
2813, 1538520432, lead_off:False/3.024, confidence:0.530, big_r:1,  small_r0, Polarity:0, No_R:117, hfb: 3
2814, 1538520492, lead_off:False/2.249, confidence:0.547, big_r:2,  small_r0, Polarity:0, No_R:117, hfb: 4
2815, 1538520552, lead_off:False/2.305, confidence:0.636, big_r:2,  small_r0, Polarity:0, No_R:121, hfb: 5
2816, 1538520612, lead_off:False/4.269, confidence:0.610, big_r:2,  small_r0, Polarity:0, No_R:123, hfb: 6
2817, 1538520672, lead_off:False/3.318, confidence:0.500, big_r:2,  small_r0, Polarity:0, No_R:108, hfb: 3
2818, 1538520732, lead_off:False/3.992, confidence:0.469, big_r:2,  small_r0, Polarity:0, No_R:113, hfb: 7
2819, 1538520792, lead_off:False/3.634, confidence:0.558, big_r:2,  small_r0, Polarity:0, No_R:104, hfb: 5
2820, 1538520852, lead_off:False/1.762, confidence:0.718, big_r:1,  small_r0, Polarity:0, No_R:124, hfb: 3
2821, 1538520912, lead_off:False/2.873, confidence:0.482, big_r:3,  small_r0, Polarity:0, No_R:110, hfb: 11
2910, 1538526252, lead_off:False/5.913, confidence:0.839, big_r:2,  small_r0, Polarity:0, No_R:93, hfb: 2
2919, 1538526792, lead_off:False/1.633, confidence:0.897, big_r:2,  small_r0, Polarity:0, No_R:97, hfb: 2
2924, 1538527092, lead_off:False/11.566, confidence:0.450, big_r:1,  small_r0, Polarity:0, No_R:40, hfb: 8
Valid measurement = 0.9856410256410256
