1, 1552111719, lead_off:False/0.869, confidence:0.723, big_r:0, small_r0, Polarity:0, No_R:101, hfb: 0
81, 1552116519, lead_off:False/0.871, confidence:0.605, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
82, 1552116579, lead_off:False/0.871, confidence:0.660, big_r:0, small_r0, Polarity:0, No_R:106, hfb: 0
83, 1552116639, lead_off:False/0.871, confidence:0.657, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
98, 1552117539, lead_off:False/0.871, confidence:0.388, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 0
99, 1552117599, lead_off:False/0.870, confidence:0.416, big_r:2, small_r0, Polarity:0, No_R:77, hfb: 11
100, 1552117659, lead_off:False/0.871, confidence:0.620, big_r:0, small_r1, Polarity:0, No_R:108, hfb: 0
101, 1552117719, lead_off:False/0.871, confidence:0.734, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
270, 1552127859, lead_off:False/0.871, confidence:0.645, big_r:0, small_r0, Polarity:0, No_R:93, hfb: 0
271, 1552127919, lead_off:False/0.872, confidence:0.700, big_r:0, small_r1, Polarity:0, No_R:110, hfb: 0
275, 1552128159, lead_off:False/0.872, confidence:0.611, big_r:0, small_r0, Polarity:0, No_R:90, hfb: 0
279, 1552128399, lead_off:False/0.872, confidence:0.725, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
280, 1552128459, lead_off:False/0.872, confidence:0.602, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 0
282, 1552128579, lead_off:False/0.872, confidence:0.714, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 0
285, 1552128759, lead_off:False/0.872, confidence:0.663, big_r:0, small_r0, Polarity:0, No_R:95, hfb: 0
324, 1552131099, lead_off:False/0.873, confidence:0.462, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 0
327, 1552131279, lead_off:False/0.873, confidence:0.728, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 0
328, 1552131339, lead_off:False/0.873, confidence:0.725, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
329, 1552131399, lead_off:False/0.873, confidence:0.720, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
343, 1552132239, lead_off:False/0.872, confidence:0.730, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 0
344, 1552132299, lead_off:False/0.872, confidence:0.731, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 0
347, 1552132479, lead_off:False/0.873, confidence:0.702, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 0
405, 1552135959, lead_off:False/1.159, confidence:0.552, big_r:0, small_r0, Polarity:0, No_R:87, hfb: 0
406, 1552136019, lead_off:False/0.857, confidence:0.398, big_r:0, small_r0, Polarity:0, No_R:103, hfb: 0
407, 1552136079, lead_off:False/0.859, confidence:0.655, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
408, 1552136139, lead_off:False/0.859, confidence:0.663, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 0
413, 1552136439, lead_off:False/0.862, confidence:0.646, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
421, 1552136919, lead_off:False/0.857, confidence:0.646, big_r:0, small_r1, Polarity:0, No_R:99, hfb: 0
422, 1552136979, lead_off:False/0.857, confidence:0.743, big_r:0, small_r0, Polarity:0, No_R:101, hfb: 0
436, 1552137819, lead_off:False/0.863, confidence:0.693, big_r:0, small_r1, Polarity:0, No_R:101, hfb: 0
437, 1552137879, lead_off:False/0.864, confidence:0.455, big_r:0, small_r0, Polarity:0, No_R:101, hfb: 0
438, 1552137939, lead_off:False/0.862, confidence:0.436, big_r:0, small_r1, Polarity:0, No_R:94, hfb: 0
439, 1552137999, lead_off:False/0.860, confidence:0.720, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
534, 1552143699, lead_off:False/0.874, confidence:0.735, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 0
618, 1552148739, lead_off:False/0.875, confidence:0.747, big_r:0, small_r0, Polarity:0, No_R:91, hfb: 0
666, 1552151619, lead_off:False/0.876, confidence:0.704, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 2
676, 1552152219, lead_off:False/0.874, confidence:0.700, big_r:0, small_r1, Polarity:0, No_R:90, hfb: 0
677, 1552152279, lead_off:False/0.874, confidence:0.557, big_r:0, small_r1, Polarity:0, No_R:88, hfb: 0
678, 1552152339, lead_off:False/0.873, confidence:0.393, big_r:0, small_r0, Polarity:0, No_R:84, hfb: 0
679, 1552152399, lead_off:False/0.874, confidence:0.478, big_r:0, small_r0, Polarity:0, No_R:90, hfb: 0
684, 1552152699, lead_off:False/0.874, confidence:0.595, big_r:0, small_r0, Polarity:0, No_R:74, hfb: 0
685, 1552152759, lead_off:False/0.874, confidence:0.404, big_r:0, small_r0, Polarity:0, No_R:89, hfb: 0
686, 1552152819, lead_off:False/0.874, confidence:0.477, big_r:0, small_r1, Polarity:0, No_R:86, hfb: 0
687, 1552152879, lead_off:False/0.873, confidence:0.667, big_r:0, small_r0, Polarity:0, No_R:84, hfb: 0
