29, 1551663749, lead_off:False/0.841, confidence:0.724, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
115, 1551668909, lead_off:False/0.840, confidence:0.745, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
116, 1551668969, lead_off:False/0.840, confidence:0.690, big_r:0, small_r0, Polarity:0, No_R:100, hfb: 0
117, 1551669029, lead_off:False/0.840, confidence:0.727, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
119, 1551669149, lead_off:False/0.840, confidence:0.438, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
122, 1551669329, lead_off:False/0.840, confidence:0.644, big_r:0, small_r0, Polarity:0, No_R:73, hfb: 0
167, 1551672029, lead_off:False/0.839, confidence:0.727, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
172, 1551672329, lead_off:False/0.840, confidence:0.426, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
173, 1551672389, lead_off:False/0.840, confidence:0.292, big_r:0, small_r0, Polarity:0, No_R:120, hfb: 0
174, 1551672449, lead_off:False/0.840, confidence:0.631, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
175, 1551672509, lead_off:False/0.840, confidence:0.704, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 0
176, 1551672569, lead_off:False/0.840, confidence:0.510, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 0
177, 1551672629, lead_off:False/0.840, confidence:0.635, big_r:0, small_r1, Polarity:0, No_R:104, hfb: 0
189, 1551673349, lead_off:False/0.840, confidence:0.735, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
190, 1551673409, lead_off:False/0.841, confidence:0.750, big_r:0, small_r0, Polarity:0, No_R:144, hfb: 0
213, 1551674789, lead_off:False/0.841, confidence:0.639, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
214, 1551674849, lead_off:False/0.841, confidence:0.732, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
258, 1551677489, lead_off:False/0.841, confidence:0.743, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
303, 1551680189, lead_off:False/0.842, confidence:0.606, big_r:0, small_r0, Polarity:0, No_R:127, hfb: 1
304, 1551680249, lead_off:False/0.842, confidence:0.743, big_r:0, small_r0, Polarity:0, No_R:140, hfb: 1
340, 1551682409, lead_off:False/0.842, confidence:0.748, big_r:0, small_r0, Polarity:0, No_R:143, hfb: 0
538, 1551694289, lead_off:False/0.845, confidence:0.726, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 2
560, 1551695609, lead_off:False/0.845, confidence:0.748, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
569, 1551696149, lead_off:False/0.845, confidence:0.685, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
570, 1551696209, lead_off:False/0.845, confidence:0.664, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
571, 1551696269, lead_off:False/0.845, confidence:0.713, big_r:0, small_r0, Polarity:0, No_R:129, hfb: 0
572, 1551696329, lead_off:False/0.845, confidence:0.717, big_r:0, small_r0, Polarity:0, No_R:127, hfb: 0
593, 1551697589, lead_off:False/0.845, confidence:0.742, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
594, 1551697649, lead_off:False/0.845, confidence:0.691, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
595, 1551697709, lead_off:False/0.845, confidence:0.699, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
651, 1551701069, lead_off:False/0.845, confidence:0.692, big_r:0, small_r0, Polarity:0, No_R:130, hfb: 0
687, 1551703229, lead_off:False/0.846, confidence:0.655, big_r:0, small_r0, Polarity:0, No_R:142, hfb: 0
688, 1551703289, lead_off:False/0.846, confidence:0.664, big_r:0, small_r0, Polarity:0, No_R:149, hfb: 0
719, 1551705149, lead_off:False/2.097, confidence:0.817, big_r:2, small_r0, Polarity:0, No_R:115, hfb: 2
720, 1551705209, lead_off:False/1.951, confidence:0.671, big_r:6, small_r0, Polarity:0, No_R:70, hfb: 6
721, 1551705269, lead_off:False/1.036, confidence:0.785, big_r:4, small_r0, Polarity:0, No_R:93, hfb: 5
760, 1551707609, lead_off:False/0.780, confidence:0.746, big_r:0, small_r0, Polarity:0, No_R:138, hfb: 0
1072, 1551726329, lead_off:False/0.854, confidence:0.747, big_r:0, small_r1, Polarity:0, No_R:87, hfb: 0
1073, 1551726389, lead_off:False/0.840, confidence:0.657, big_r:0, small_r0, Polarity:0, No_R:70, hfb: 0
