580, 1551694381, lead_off:False/0.965, confidence:0.748, big_r:0, small_r0, Polarity:0, No_R:127, hfb: 1
581, 1551694441, lead_off:False/0.957, confidence:0.664, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 2
593, 1551695161, lead_off:False/0.976, confidence:0.690, big_r:0, small_r1, Polarity:0, No_R:113, hfb: 3
594, 1551695221, lead_off:False/1.027, confidence:0.730, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
597, 1551695401, lead_off:False/1.034, confidence:0.651, big_r:0, small_r0, Polarity:0, No_R:129, hfb: 1
607, 1551696001, lead_off:False/0.974, confidence:0.540, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 1
617, 1551696601, lead_off:False/1.071, confidence:0.680, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 2
618, 1551696661, lead_off:False/1.038, confidence:0.707, big_r:1, small_r0, Polarity:0, No_R:133, hfb: 5
619, 1551696721, lead_off:False/1.042, confidence:0.721, big_r:0, small_r0, Polarity:0, No_R:147, hfb: 1
620, 1551696781, lead_off:False/1.064, confidence:0.730, big_r:0, small_r0, Polarity:0, No_R:148, hfb: 2
652, 1551698701, lead_off:False/2.291, confidence:0.604, big_r:1, small_r0, Polarity:0, No_R:96, hfb: 3
653, 1551698761, lead_off:False/1.232, confidence:0.556, big_r:3, small_r0, Polarity:0, No_R:90, hfb: 9
654, 1551698821, lead_off:False/0.788, confidence:0.688, big_r:2, small_r0, Polarity:0, No_R:112, hfb: 4
655, 1551698881, lead_off:False/1.213, confidence:0.607, big_r:1, small_r3, Polarity:0, No_R:117, hfb: 6
