2698, 1552891848, lead_off:False/0.802, confidence:0.647, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
2699, 1552891908, lead_off:False/0.801, confidence:0.595, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
2702, 1552892088, lead_off:False/0.802, confidence:0.737, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
2703, 1552892148, lead_off:False/0.800, confidence:0.609, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
2707, 1552892388, lead_off:False/0.802, confidence:0.667, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
2708, 1552892448, lead_off:False/0.801, confidence:0.739, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
2714, 1552892808, lead_off:False/0.802, confidence:0.713, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
2717, 1552892988, lead_off:False/0.802, confidence:0.726, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2724, 1552893408, lead_off:False/0.800, confidence:0.612, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
2725, 1552893468, lead_off:False/0.797, confidence:0.689, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
2726, 1552893528, lead_off:False/0.796, confidence:0.588, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
2727, 1552893588, lead_off:False/0.799, confidence:0.683, big_r:0, small_r0, Polarity:0, No_R:120, hfb: 0
2737, 1552894188, lead_off:False/0.799, confidence:0.691, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
2738, 1552894248, lead_off:False/0.799, confidence:0.719, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
2743, 1552894548, lead_off:False/0.804, confidence:0.724, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
2747, 1552894788, lead_off:False/0.806, confidence:0.694, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
2750, 1552894968, lead_off:False/0.804, confidence:0.706, big_r:0, small_r1, Polarity:0, No_R:126, hfb: 0
2751, 1552895028, lead_off:False/0.801, confidence:0.608, big_r:0, small_r0, Polarity:0, No_R:120, hfb: 0
2752, 1552895088, lead_off:False/0.802, confidence:0.729, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
2757, 1552895388, lead_off:False/0.806, confidence:0.670, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
2758, 1552895448, lead_off:False/0.805, confidence:0.556, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
2759, 1552895508, lead_off:False/0.805, confidence:0.598, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
2760, 1552895568, lead_off:False/0.806, confidence:0.632, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
2761, 1552895628, lead_off:False/0.805, confidence:0.605, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
2762, 1552895688, lead_off:False/0.804, confidence:0.650, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
2763, 1552895748, lead_off:False/0.805, confidence:0.678, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
2764, 1552895808, lead_off:False/0.807, confidence:0.639, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
2765, 1552895868, lead_off:False/0.807, confidence:0.446, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 0
2766, 1552895928, lead_off:False/0.806, confidence:0.425, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2767, 1552895988, lead_off:False/0.806, confidence:0.521, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
2768, 1552896048, lead_off:False/0.806, confidence:0.345, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
2769, 1552896108, lead_off:False/0.806, confidence:0.615, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
2770, 1552896168, lead_off:False/0.806, confidence:0.273, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
2771, 1552896228, lead_off:False/0.806, confidence:0.487, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
2772, 1552896288, lead_off:False/0.805, confidence:0.437, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
2773, 1552896348, lead_off:False/0.806, confidence:0.530, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
2774, 1552896408, lead_off:False/0.808, confidence:0.596, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
2797, 1552897788, lead_off:False/0.806, confidence:0.674, big_r:0, small_r0, Polarity:0, No_R:132, hfb: 0
2803, 1552898148, lead_off:False/0.806, confidence:0.705, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 0
2807, 1552898388, lead_off:False/0.803, confidence:0.737, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
