1110, 1552178259, lead_off:False/0.852, confidence:0.500, big_r:0, small_r1, Polarity:0, No_R:112, hfb: 0
1111, 1552178319, lead_off:False/0.851, confidence:0.628, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
1113, 1552178439, lead_off:False/0.850, confidence:0.612, big_r:0, small_r0, Polarity:0, No_R:129, hfb: 0
1114, 1552178499, lead_off:False/0.850, confidence:0.407, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1132, 1552179579, lead_off:False/0.855, confidence:0.569, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
1133, 1552179639, lead_off:False/0.855, confidence:0.698, big_r:0, small_r1, Polarity:0, No_R:106, hfb: 0
1134, 1552179699, lead_off:False/0.854, confidence:0.664, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
1138, 1552179939, lead_off:False/0.856, confidence:0.680, big_r:0, small_r0, Polarity:0, No_R:128, hfb: 0
1139, 1552179999, lead_off:False/0.854, confidence:0.643, big_r:0, small_r0, Polarity:0, No_R:126, hfb: 0
1142, 1552180179, lead_off:False/0.853, confidence:0.553, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
1143, 1552180239, lead_off:False/0.853, confidence:0.581, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
1144, 1552180299, lead_off:False/0.852, confidence:0.356, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1145, 1552180359, lead_off:False/0.851, confidence:0.544, big_r:0, small_r0, Polarity:0, No_R:125, hfb: 0
1146, 1552180419, lead_off:False/0.850, confidence:0.585, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1147, 1552180479, lead_off:False/0.850, confidence:0.609, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
1188, 1552182939, lead_off:False/0.853, confidence:0.745, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
1197, 1552183479, lead_off:False/0.853, confidence:0.716, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
1202, 1552183779, lead_off:False/0.859, confidence:0.505, big_r:0, small_r1, Polarity:0, No_R:107, hfb: 0
1203, 1552183839, lead_off:False/0.860, confidence:0.398, big_r:0, small_r0, Polarity:0, No_R:93, hfb: 0
1204, 1552183899, lead_off:False/0.860, confidence:0.337, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 0
1205, 1552183959, lead_off:False/0.860, confidence:0.363, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
1206, 1552184019, lead_off:False/0.860, confidence:0.636, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
1207, 1552184079, lead_off:False/0.859, confidence:0.714, big_r:0, small_r0, Polarity:0, No_R:91, hfb: 0
1224, 1552185099, lead_off:False/0.865, confidence:0.596, big_r:0, small_r0, Polarity:0, No_R:99, hfb: 0
1225, 1552185159, lead_off:False/0.865, confidence:0.667, big_r:0, small_r1, Polarity:0, No_R:96, hfb: 0
1233, 1552185639, lead_off:False/0.866, confidence:0.611, big_r:0, small_r0, Polarity:0, No_R:95, hfb: 0
1234, 1552185699, lead_off:False/0.865, confidence:0.744, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
1253, 1552186839, lead_off:False/0.855, confidence:0.667, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 0
1254, 1552186899, lead_off:False/0.854, confidence:0.653, big_r:0, small_r0, Polarity:0, No_R:101, hfb: 0
1255, 1552186959, lead_off:False/0.853, confidence:0.750, big_r:0, small_r1, Polarity:0, No_R:104, hfb: 0
