2742, 1552276179, lead_off:False/0.881, confidence:0.585, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
2743, 1552276239, lead_off:False/0.880, confidence:0.667, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 0
2745, 1552276359, lead_off:False/0.879, confidence:0.615, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
2748, 1552276539, lead_off:False/0.879, confidence:0.655, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
2749, 1552276599, lead_off:False/0.879, confidence:0.627, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 0
2750, 1552276659, lead_off:False/0.880, confidence:0.724, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
2754, 1552276899, lead_off:False/0.883, confidence:0.447, big_r:0, small_r1, Polarity:0, No_R:94, hfb: 0
2755, 1552276959, lead_off:False/0.881, confidence:0.438, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
2764, 1552277499, lead_off:False/0.877, confidence:0.735, big_r:0, small_r0, Polarity:0, No_R:98, hfb: 0
2766, 1552277619, lead_off:False/0.881, confidence:0.588, big_r:0, small_r1, Polarity:0, No_R:97, hfb: 0
2775, 1552278159, lead_off:False/0.881, confidence:0.442, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2776, 1552278219, lead_off:False/0.881, confidence:0.556, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
2778, 1552278339, lead_off:False/0.880, confidence:0.570, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
2779, 1552278399, lead_off:False/0.880, confidence:0.655, big_r:0, small_r1, Polarity:0, No_R:119, hfb: 0
2780, 1552278459, lead_off:False/0.879, confidence:0.678, big_r:0, small_r1, Polarity:0, No_R:115, hfb: 0
2781, 1552278519, lead_off:False/0.878, confidence:0.741, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 0
2782, 1552278579, lead_off:False/0.878, confidence:0.549, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2783, 1552278639, lead_off:False/0.878, confidence:0.733, big_r:0, small_r0, Polarity:0, No_R:120, hfb: 0
2784, 1552278699, lead_off:False/0.877, confidence:0.684, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
2785, 1552278759, lead_off:False/0.876, confidence:0.542, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
2786, 1552278819, lead_off:False/0.875, confidence:0.594, big_r:0, small_r0, Polarity:0, No_R:106, hfb: 0
2787, 1552278879, lead_off:False/0.873, confidence:0.729, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
2788, 1552278939, lead_off:False/0.871, confidence:0.716, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
2789, 1552278999, lead_off:False/0.870, confidence:0.606, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
2790, 1552279059, lead_off:False/0.870, confidence:0.623, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
2792, 1552279179, lead_off:False/0.869, confidence:0.655, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 0
2794, 1552279299, lead_off:False/0.869, confidence:0.623, big_r:0, small_r1, Polarity:0, No_R:114, hfb: 0
2795, 1552279359, lead_off:False/0.868, confidence:0.684, big_r:0, small_r1, Polarity:0, No_R:114, hfb: 0
2796, 1552279419, lead_off:False/0.867, confidence:0.679, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
2797, 1552279479, lead_off:False/0.867, confidence:0.519, big_r:0, small_r1, Polarity:0, No_R:104, hfb: 0
2799, 1552279599, lead_off:False/0.867, confidence:0.626, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
2801, 1552279719, lead_off:False/0.867, confidence:0.570, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
2802, 1552279779, lead_off:False/0.866, confidence:0.364, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 0
2803, 1552279839, lead_off:False/0.865, confidence:0.291, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 0
2804, 1552279899, lead_off:False/0.864, confidence:0.517, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
2805, 1552279959, lead_off:False/0.864, confidence:0.352, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 0
2806, 1552280019, lead_off:False/0.864, confidence:0.611, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2807, 1552280079, lead_off:False/0.863, confidence:0.637, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2808, 1552280139, lead_off:False/0.862, confidence:0.701, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
2809, 1552280199, lead_off:False/0.862, confidence:0.580, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 0
2810, 1552280259, lead_off:False/0.862, confidence:0.420, big_r:0, small_r1, Polarity:0, No_R:119, hfb: 0
2811, 1552280319, lead_off:False/0.861, confidence:0.586, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
2812, 1552280379, lead_off:False/0.861, confidence:0.535, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
2813, 1552280439, lead_off:False/0.860, confidence:0.475, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
2814, 1552280499, lead_off:False/0.859, confidence:0.522, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
2815, 1552280559, lead_off:False/0.858, confidence:0.667, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
2827, 1552281279, lead_off:False/7.925, confidence:0.641, big_r:0, small_r0, Polarity:0, No_R:39, hfb: 1
