266, 1538367493, lead_off:False/2.111, confidence:0.845, big_r:3,  small_r0, Polarity:0, No_R:84, hfb: 4
275, 1538368033, lead_off:False/0.866, confidence:0.936, big_r:2,  small_r0, Polarity:0, No_R:109, hfb: 2
277, 1538368153, lead_off:False/1.713, confidence:0.701, big_r:1,  small_r0, Polarity:0, No_R:87, hfb: 1
279, 1538368273, lead_off:False/6.185, confidence:0.627, big_r:0,  small_r0, Polarity:0, No_R:75, hfb: 1
280, 1538368333, lead_off:False/8.361, confidence:0.613, big_r:3,  small_r0, Polarity:0, No_R:75, hfb: 4
281, 1538368393, lead_off:False/6.741, confidence:0.468, big_r:2,  small_r0, Polarity:0, No_R:77, hfb: 2
282, 1538368453, lead_off:False/4.931, confidence:0.518, big_r:1,  small_r0, Polarity:0, No_R:83, hfb: 2
283, 1538368513, lead_off:False/2.017, confidence:0.654, big_r:2,  small_r0, Polarity:0, No_R:81, hfb: 2
284, 1538368573, lead_off:False/6.232, confidence:0.480, big_r:1,  small_r0, Polarity:0, No_R:75, hfb: 1
285, 1538368633, lead_off:False/10.339, confidence:0.728, big_r:0,  small_r0, Polarity:0, No_R:81, hfb: 1
286, 1538368693, lead_off:True/12.057, confidence:0.944, big_r:0,  small_r0, Polarity:0, No_R:89, hfb: 0
290, 1538368933, lead_off:False/9.622, confidence:0.690, big_r:0,  small_r0, Polarity:0, No_R:84, hfb: 0
293, 1538369113, lead_off:True/12.005, confidence:0.914, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 1
294, 1538369173, lead_off:True/12.011, confidence:0.914, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 0
296, 1538369293, lead_off:True/12.005, confidence:0.954, big_r:0,  small_r0, Polarity:0, No_R:87, hfb: 0
299, 1538369473, lead_off:True/12.040, confidence:0.963, big_r:0,  small_r0, Polarity:0, No_R:81, hfb: 0
300, 1538369533, lead_off:True/12.045, confidence:0.930, big_r:0,  small_r0, Polarity:0, No_R:86, hfb: 0
301, 1538369593, lead_off:True/12.040, confidence:0.966, big_r:0,  small_r0, Polarity:0, No_R:88, hfb: 2
302, 1538369653, lead_off:False/8.358, confidence:0.569, big_r:1,  small_r0, Polarity:0, No_R:58, hfb: 2
303, 1538369713, lead_off:False/8.181, confidence:0.421, big_r:1,  small_r0, Polarity:0, No_R:76, hfb: 1
304, 1538369773, lead_off:False/7.794, confidence:0.426, big_r:1,  small_r0, Polarity:0, No_R:68, hfb: 2
305, 1538369833, lead_off:True/12.054, confidence:0.270, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 1
306, 1538369893, lead_off:False/6.421, confidence:0.517, big_r:1,  small_r0, Polarity:0, No_R:87, hfb: 1
