185, 1552534074, lead_off:False/0.790, confidence:0.687, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
197, 1552534794, lead_off:False/0.793, confidence:0.731, big_r:0, small_r0, Polarity:0, No_R:104, hfb: 0
215, 1552535874, lead_off:False/0.792, confidence:0.618, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 0
216, 1552535934, lead_off:False/0.791, confidence:0.736, big_r:0, small_r0, Polarity:0, No_R:106, hfb: 0
220, 1552536174, lead_off:False/0.790, confidence:0.679, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
472, 1552551294, lead_off:False/0.791, confidence:0.737, big_r:0, small_r1, Polarity:0, No_R:118, hfb: 0
567, 1552556994, lead_off:False/0.781, confidence:0.738, big_r:0, small_r0, Polarity:0, No_R:122, hfb: 0
723, 1552566354, lead_off:False/0.779, confidence:0.525, big_r:3, small_r0, Polarity:0, No_R:101, hfb: 4
724, 1552566414, lead_off:False/1.555, confidence:0.525, big_r:3, small_r0, Polarity:0, No_R:101, hfb: 6
726, 1552566534, lead_off:False/1.108, confidence:0.713, big_r:1, small_r0, Polarity:0, No_R:94, hfb: 1
731, 1552566834, lead_off:False/0.768, confidence:0.722, big_r:0, small_r0, Polarity:0, No_R:108, hfb: 0
1329, 1552602714, lead_off:False/0.770, confidence:0.697, big_r:0, small_r0, Polarity:0, No_R:89, hfb: 0
1330, 1552602774, lead_off:False/0.772, confidence:0.698, big_r:0, small_r0, Polarity:0, No_R:96, hfb: 0
1340, 1552603374, lead_off:False/0.769, confidence:0.589, big_r:0, small_r0, Polarity:0, No_R:107, hfb: 4
1341, 1552603434, lead_off:False/0.769, confidence:0.541, big_r:0, small_r1, Polarity:0, No_R:109, hfb: 2
1342, 1552603494, lead_off:False/0.767, confidence:0.190, big_r:0, small_r2, Polarity:0, No_R:84, hfb: 10
1553, 1552616154, lead_off:False/0.774, confidence:0.701, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
1561, 1552616634, lead_off:False/0.773, confidence:0.723, big_r:0, small_r0, Polarity:0, No_R:137, hfb: 0
1635, 1552621074, lead_off:False/0.775, confidence:0.725, big_r:0, small_r0, Polarity:0, No_R:102, hfb: 0
1636, 1552621134, lead_off:False/0.775, confidence:0.745, big_r:0, small_r0, Polarity:0, No_R:110, hfb: 0
1638, 1552621254, lead_off:False/0.774, confidence:0.487, big_r:0, small_r0, Polarity:0, No_R:113, hfb: 0
1676, 1552623534, lead_off:False/0.775, confidence:0.667, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
1677, 1552623594, lead_off:False/0.775, confidence:0.675, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
1690, 1552624374, lead_off:False/0.775, confidence:0.657, big_r:0, small_r0, Polarity:0, No_R:105, hfb: 0
1868, 1552635054, lead_off:False/0.779, confidence:0.744, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
1870, 1552635174, lead_off:False/0.779, confidence:0.712, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 0
1871, 1552635234, lead_off:False/0.779, confidence:0.659, big_r:0, small_r0, Polarity:0, No_R:126, hfb: 0
1935, 1552639074, lead_off:False/0.780, confidence:0.694, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
2007, 1552643394, lead_off:False/0.781, confidence:0.647, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
2008, 1552643454, lead_off:False/0.780, confidence:0.694, big_r:0, small_r0, Polarity:0, No_R:111, hfb: 0
2057, 1552646394, lead_off:False/0.781, confidence:0.734, big_r:0, small_r0, Polarity:0, No_R:109, hfb: 0
2220, 1552656174, lead_off:False/0.793, confidence:0.613, big_r:0, small_r0, Polarity:0, No_R:80, hfb: 0
2221, 1552656234, lead_off:False/0.796, confidence:0.677, big_r:0, small_r0, Polarity:0, No_R:96, hfb: 0
2724, 1552686414, lead_off:False/0.822, confidence:0.750, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 0
2725, 1552686474, lead_off:False/0.823, confidence:0.726, big_r:0, small_r0, Polarity:0, No_R:117, hfb: 0
2752, 1552688094, lead_off:False/0.806, confidence:0.611, big_r:0, small_r0, Polarity:0, No_R:175, hfb: 0
2850, 1552693974, lead_off:False/0.819, confidence:0.742, big_r:0, small_r0, Polarity:0, No_R:163, hfb: 0
2852, 1552694094, lead_off:False/0.817, confidence:0.643, big_r:0, small_r0, Polarity:0, No_R:143, hfb: 0
2854, 1552694214, lead_off:False/10.411, confidence:0.560, big_r:1, small_r0, Polarity:0, No_R:25, hfb: 3
